prefecture,city_code,city_name,No.,施設名,所在地,開放日,受入可能人数,開設場所,ウェブサイト,開放日時,type,備考,開放場所,開放時間,開始時間,終了時間,開放可能日,指定日,連絡先,休館日
33,33100,岡山市,1,岡輝公民館,岡山県岡山市北区 旭本町 1-80,"平日 9:30-21:00, 日曜 9:30-17:00, 水曜, 祝日, 水曜が祝日の場合の翌日木曜を除く",15,ロビー,https://www.city.okayama.jp/shisei/0000010911.html,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,33100,岡山市,2,足守公民館,岡山県岡山市北区 足守 718,"平日 9:30-21:00, 日曜 9:30-17:00, 水曜, 祝日, 水曜が祝日の場合の翌日木曜を除く",30,ロビー,https://www.city.okayama.jp/shisei/0000011225.html,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,33100,岡山市,3,京山公民館,岡山県岡山市北区 伊島町二丁目 9-38,"平日 9:30-21:00, 日曜 9:30-17:00, 水曜, 祝日, 水曜が祝日の場合の翌日木曜を除く",23,ロビー,https://www.city.okayama.jp/shisei/0000011028.html,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,33100,岡山市,4,一宮公民館,岡山県岡山市北区 一宮 638-1,"平日 9:30-21:00, 日曜 9:30-17:00, 水曜, 祝日, 水曜が祝日の場合の翌日木曜を除く",10,ロビー,https://www.city.okayama.jp/shisei/0000010851.html,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,33100,岡山市,5,岡山県庁本庁舎,岡山県岡山市北区 内山下二丁目4-6,月曜から金曜 8:30-18:00 祝日を除く,30,1階県民室,https://www.pref.okayama.jp/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,33100,岡山市,6,大元公民館,岡山県岡山市北区 大元上町 10-31,"平日 9:30-21:00, 日曜 9:30-17:00, 水曜, 祝日, 水曜が祝日の場合の翌日木曜を除く",25,ロビー,https://www.city.okayama.jp/shisei/0000011345.html,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,33100,岡山市,7,岡山市男女共同参画社会推進センター,岡山県岡山市北区 表町三丁目 14-1-201,"月曜, 水曜から土曜 9:30-20:00, 日曜, 祝日 9:30-17:00",10,情報・AVコーナー,https://www.city.okayama.jp/0000005879.html,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,33100,岡山市,8,津高公民館,岡山県岡山市北区 栢谷 1677,"平日 9:30-21:00, 日曜 9:30-17:00, 水曜, 祝日, 水曜が祝日の場合の翌日木曜を除く",27,ロビー,https://www.city.okayama.jp/shisei/0000011371.html,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,33100,岡山市,9,岡山市勤労者福祉センター,岡山県岡山市北区 春日町 5-6,9:00-21:00 祝日を除く,10,1階ロビー,https://www.city.okayama.jp/shisei/0000009905.html,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,33100,岡山市,10,幸町図書館,岡山県岡山市北区 幸町 10-16,"火曜, 水曜, 木曜, 金曜 10:00-20:00, 土曜, 日曜 10:00-18:00, 毎月第2日曜除く",30,開架フロア,https://www.ocl.city.okayama.jp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,33100,岡山市,11,岡山市保健福祉会館,岡山県岡山市北区 鹿田町一丁目1-1,月曜から金曜 8:30-17:15 祝日を除く,10,1階総合受付前ホール,https://www.city.okayama.jp/shisei/0000020527.html,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,33100,岡山市,12,イオンモール岡山,岡山県岡山市北区 下石井一丁目-2-1,10:00-21:00 令和6年8月31日まで,30,2階北エスカレーター下り前スペース,https://aeonmall-okayama.com/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
