area,station_no,station_name,pref_code
宗谷,11001,宗谷岬,01
宗谷,11016,稚内,01
宗谷,11046,礼文,01
宗谷,11076,浜鬼志別,01
宗谷,11121,沼川,01
宗谷,11151,沓形,01
宗谷,11176,豊富,01
宗谷,11206,浜頓別,01
宗谷,11276,中頓別,01
宗谷,11291,北見枝幸,01
宗谷,11316,歌登,01
上川,12011,中川,01
上川,12041,音威子府,01
上川,12141,美深,01
上川,12181,名寄,01
上川,12231,下川,01
上川,12261,士別,01
上川,12266,朝日,01
上川,12301,和寒,01
上川,12386,江丹別,01
上川,12396,比布,01
上川,12411,上川,01
上川,12442,旭川,01
上川,12451,東川,01
上川,12512,志比内,01
上川,12551,美瑛,01
上川,12596,上富良野,01
上川,12626,富良野,01
上川,12632,麓郷,01
上川,12691,幾寅,01
上川,12746,占冠,01
上川,15041,朱鞠内,01
上川,15076,幌加内,01
留萌,13061,天塩,01
留萌,13086,遠別,01
留萌,13121,初山別,01
留萌,13146,焼尻,01
留萌,13181,羽幌,01
留萌,13261,達布,01
留萌,13277,留萌,01
留萌,13311,増毛,01
留萌,13321,幌糠,01
石狩,14026,浜益,01
石狩,14071,厚田,01
石狩,14101,新篠津,01
石狩,14116,山口,01
石狩,14121,石狩,01
石狩,14136,江別,01
石狩,14163,札幌,01
石狩,14206,恵庭島松,01
石狩,14286,支笏湖畔,01
空知,15116,石狩沼田,01
空知,15161,深川,01
空知,15231,空知吉野,01
空知,15241,滝川,01
空知,15251,芦別,01
空知,15311,月形,01
空知,15321,美唄,01
空知,15356,岩見沢,01
空知,15431,長沼,01
空知,15442,夕張,01
後志,16026,美国,01
後志,16061,神恵内,01
後志,16076,余市,01
後志,16091,小樽,01
後志,16156,共和,01
後志,16206,蘭越,01
後志,16217,倶知安,01
後志,16252,寿都,01
後志,16281,真狩,01
後志,16286,喜茂別,01
後志,16321,黒松内,01
網走・北見・紋別,17036,雄武,01
網走・北見・紋別,17076,興部,01
網走・北見・紋別,17091,西興部,01
網走・北見・紋別,17112,紋別,01
網走・北見・紋別,17166,湧別,01
網走・北見・紋別,17196,滝上,01
網走・北見・紋別,17246,常呂,01
網走・北見・紋別,17306,遠軽,01
網走・北見・紋別,17316,佐呂間,01
網走・北見・紋別,17341,網走,01
網走・北見・紋別,17351,宇登呂,01
網走・北見・紋別,17482,白滝,01
網走・北見・紋別,17501,生田原,01
網走・北見・紋別,17521,北見,01
網走・北見・紋別,17546,小清水,01
網走・北見・紋別,17561,斜里,01
網走・北見・紋別,17596,留辺蘂,01
網走・北見・紋別,17607,境野,01
網走・北見・紋別,17631,美幌,01
網走・北見・紋別,17717,津別,01
根室,18038,羅臼,01
根室,18136,標津,01
根室,18161,上標津,01
根室,18171,中標津,01
根室,18256,別海,01
根室,18273,根室,01
根室,18281,納沙布,01
根室,18311,厚床,01
釧路,19021,川湯,01
釧路,19051,弟子屈,01
釧路,19076,阿寒湖畔,01
釧路,19151,標茶,01
釧路,19191,鶴居,01
釧路,19261,中徹別,01
釧路,19311,榊町,01
釧路,19376,太田,01
釧路,19416,白糠,01
釧路,19432,釧路,01
釧路,19451,知方学,01
十勝,20146,陸別,01
十勝,20186,ぬかびら源泉郷,01
十勝,20266,上士幌,01
十勝,20276,足寄,01
十勝,20341,本別,01
十勝,20356,新得,01
十勝,20361,鹿追,01
十勝,20371,駒場,01
十勝,20421,芽室,01
十勝,20432,帯広,01
十勝,20441,池田,01
十勝,20506,浦幌,01
十勝,20556,糠内,01
十勝,20601,上札内,01
十勝,20606,更別,01
十勝,20631,大津,01
十勝,20696,大樹,01
十勝,20751,広尾,01
胆振,21111,厚真,01
胆振,21126,穂別,01
胆振,21161,大滝,01
胆振,21171,森野,01
胆振,21187,苫小牧,01
胆振,21226,大岸,01
胆振,21261,白老,01
胆振,21276,鵡川,01
胆振,21297,伊達,01
胆振,21312,登別,01
胆振,21323,室蘭,01
日高,22036,日高,01
日高,22141,日高門別,01
日高,22156,新和,01
日高,22241,静内,01
日高,22291,三石,01
日高,22306,中杵臼,01
日高,22327,浦河,01
日高,22391,えりも岬,01
渡島,23031,長万部,01
渡島,23086,八雲,01
渡島,23166,森,01
渡島,23206,川汲,01
渡島,23226,北斗,01
渡島,23232,函館,01
渡島,23326,木古内,01
渡島,23376,松前,01
渡島,24141,熊石,01
檜山,24041,せたな,01
檜山,24051,今金,01
檜山,24101,奥尻,01
檜山,24201,鶉,01
檜山,24217,江差,01
青森,31001,大間,02
青森,31111,むつ,02
青森,31121,小田野沢,02
青森,31136,今別,02
青森,31156,脇野沢,02
青森,31186,市浦,02
青森,31201,蟹田,02
青森,31296,五所川原,02
青森,31312,青森,02
青森,31332,野辺地,02
青森,31336,六ケ所,02
青森,31366,鰺ケ沢,02
青森,31436,深浦,02
青森,31461,弘前,02
青森,31466,黒石,02
青森,31482,酸ケ湯,02
青森,31506,三沢,02
青森,31586,十和田,02
青森,31602,八戸,02
青森,31646,碇ケ関,02
青森,31662,休屋,02
青森,31721,三戸,02
秋田,32056,八森,05
秋田,32111,能代,05
秋田,32126,鷹巣,05
秋田,32136,大館,05
秋田,32146,鹿角,05
秋田,32206,湯瀬,05
秋田,32266,八幡平,05
秋田,32286,男鹿,05
秋田,32287,大潟,05
秋田,32296,五城目,05
秋田,32311,阿仁合,05
秋田,32402,秋田,05
秋田,32407,岩見三内,05
秋田,32466,角館,05
秋田,32476,田沢湖,05
秋田,32496,大正寺,05
秋田,32551,大曲,05
秋田,32571,本荘,05
秋田,32581,東由利,05
秋田,32596,横手,05
秋田,32616,にかほ,05
秋田,32626,矢島,05
秋田,32691,湯沢,05
秋田,32771,湯の岱,05
岩手,33006,種市,03
岩手,33026,軽米,03
岩手,33071,二戸,03
岩手,33136,山形,03
岩手,33146,久慈,03
岩手,33166,荒屋,03
岩手,33176,奥中山,03
岩手,33186,葛巻,03
岩手,33206,普代,03
岩手,33226,岩手松尾,03
岩手,33296,好摩,03
岩手,33326,岩泉,03
岩手,33336,小本,03
岩手,33371,薮川,03
岩手,33421,雫石,03
岩手,33431,盛岡,03
岩手,33441,区界,03
岩手,33472,宮古,03
岩手,33486,沢内,03
岩手,33501,紫波,03
岩手,33526,川井,03
岩手,33581,大迫,03
岩手,33616,山田,03
岩手,33631,湯田,03
岩手,33671,遠野,03
岩手,33716,北上,03
岩手,33751,釜石,03
岩手,33776,若柳,03
岩手,33781,江刺,03
岩手,33801,住田,03
岩手,33877,大船渡,03
岩手,33911,一関,03
岩手,33921,千厩,03
宮城,34012,駒ノ湯,04
宮城,34026,気仙沼,04
宮城,34096,川渡,04
宮城,34111,築館,04
宮城,34171,米山,04
宮城,34186,志津川,04
宮城,34216,古川,04
宮城,34266,大衡,04
宮城,34276,鹿島台,04
宮城,34292,石巻,04
宮城,34311,新川,04
宮城,34331,塩釜,04
宮城,34361,江ノ島,04
宮城,34392,仙台,04
宮城,34461,白石,04
宮城,34462,蔵王,04
宮城,34471,亘理,04
宮城,34506,丸森,04
山形,35002,飛島,06
山形,35052,酒田,06
山形,35071,差首鍋,06
山形,35116,金山,06
山形,35141,鶴岡,06
山形,35146,狩川,06
山形,35162,新庄,06
山形,35176,向町,06
山形,35216,肘折,06
山形,35231,尾花沢,06
山形,35246,鼠ケ関,06
山形,35332,村山,06
山形,35361,大井沢,06
山形,35376,左沢,06
山形,35426,山形,06
山形,35456,長井,06
山形,35486,小国,06
山形,35511,高畠,06
山形,35541,高峰,06
山形,35552,米沢,06
福島,36056,茂庭,07
福島,36066,梁川,07
福島,36106,桧原,07
福島,36126,福島,07
福島,36151,相馬,07
福島,36176,喜多方,07
福島,36196,鷲倉,07
福島,36221,飯舘,07
福島,36251,西会津,07
福島,36276,猪苗代,07
福島,36291,二本松,07
福島,36342,金山,07
福島,36361,若松,07
福島,36391,船引,07
福島,36411,浪江,07
福島,36426,只見,07
福島,36476,郡山,07
福島,36501,川内,07
福島,36536,南郷,07
福島,36562,湯本,07
福島,36591,小野新町,07
福島,36611,広野,07
福島,36641,田島,07
福島,36667,白河,07
福島,36676,石川,07
福島,36716,桧枝岐,07
福島,36821,東白川,07
福島,36836,山田,07
福島,36846,小名浜,07
茨城,40046,北茨城,08
茨城,40061,大子,08
茨城,40091,常陸大宮,08
茨城,40136,日立,08
茨城,40191,笠間,08
茨城,40201,水戸,08
茨城,40221,古河,08
茨城,40231,下館,08
茨城,40281,下妻,08
茨城,40311,鉾田,08
茨城,40336,つくば,08
茨城,40341,土浦,08
茨城,40406,鹿嶋,08
茨城,40426,龍ケ崎,08
栃木,41011,那須高原,09
栃木,41076,五十里,09
栃木,41091,黒磯,09
栃木,41116,土呂部,09
栃木,41141,大田原,09
栃木,41166,奥日光,09
栃木,41171,今市,09
栃木,41181,塩谷,09
栃木,41247,那須烏山,09
栃木,41271,鹿沼,09
栃木,41277,宇都宮,09
栃木,41331,真岡,09
栃木,41361,佐野,09
栃木,41376,小山,09
群馬,42046,藤原,10
群馬,42091,みなかみ,10
群馬,42121,草津,10
群馬,42146,沼田,10
群馬,42186,中之条,10
群馬,42221,田代,10
群馬,42251,前橋,10
群馬,42266,桐生,10
群馬,42286,上里見,10
群馬,42302,伊勢崎,10
群馬,42326,西野牧,10
群馬,42366,館林,10
群馬,42396,神流,10
埼玉,43051,寄居,11
埼玉,43056,熊谷,11
埼玉,43126,久喜,11
埼玉,43156,秩父,11
埼玉,43171,鳩山,11
埼玉,43241,さいたま,11
埼玉,43256,越谷,11
埼玉,43266,所沢,11
東京,44046,小河内,13
東京,44056,青梅,13
東京,44071,練馬,13
東京,44112,八王子,13
東京,44116,府中,13
東京,44132,東京,13
東京,44136,江戸川臨海,13
東京,44172,大島,13
東京,44226,三宅島,13
東京,44263,八丈島,13
東京,44301,父島,13
千葉,45061,我孫子,12
千葉,45081,香取,12
千葉,45106,船橋,12
千葉,45116,佐倉,12
千葉,45147,銚子,12
千葉,45181,横芝光,12
千葉,45212,千葉,12
千葉,45261,茂原,12
千葉,45282,木更津,12
千葉,45291,牛久,12
千葉,45326,坂畑,12
千葉,45361,鴨川,12
千葉,45371,勝浦,12
千葉,45401,館山,12
神奈川,46091,海老名,14
神奈川,46106,横浜,14
神奈川,46141,辻堂,14
神奈川,46166,小田原,14
神奈川,46211,三浦,14
長野,48031,野沢温泉,20
長野,48061,信濃町,20
長野,48066,飯山,20
長野,48141,白馬,20
